Institution,Country,Year,Best Rank,Worst Rank,Highest Score,Lowest Score,Teaching,Research,Citations,Industry Income,International Outlook,FTE Enrollment,Students per Staff,International Enrollment,Pct Women,Score,Rank
University of Duisburg-Essen,Germany,2019,190,190,54.0,54.0,35.3,32.2,91.9,71.2,58.9,42931,54.7,0.18,0.48,54.0175,192.0
University of East Anglia,United Kingdom,2019,190,190,54.0,54.0,28.2,30.9,96.2,35.3,87.4,13984,13.6,0.29,0.61,54.027499999999996,191.0
Western University,Canada,2019,190,190,54.0,54.0,41.5,36.1,78.0,59.8,77.6,29732,22.9,0.17,0.56,53.995,193.0
Aalborg University,Denmark,2019,194,194,53.9,53.9,30.7,37.7,88.9,47.1,73.9,16021,13.7,0.14,,53.910000000000004,195.0
Paris Diderot University – Paris 7,France,2019,194,194,53.9,53.9,46.4,19.5,93.1,34.0,72.0,28918,15.0,0.2,0.63,53.949999999999996,194.0
University of Technology Sydney,Australia,2019,196,196,53.6,53.6,32.2,41.8,76.4,52.2,95.4,25637,43.4,0.36,0.51,53.580000000000005,196.0
University of Bergen,Norway,2019,197,197,53.3,53.3,30.7,30.6,94.0,36.5,77.9,13116,12.3,0.14,0.59,53.345000000000006,197.0
Korea University,South Korea,2019,198,198,53.2,53.2,48.4,50.1,58.1,98.3,50.7,22705,15.6,0.21,,53.24,198.0
University of Calgary,Canada,2019,199,199,53.1,53.1,34.6,34.4,84.1,55.7,76.6,27489,15.7,0.19,,53.06749999999999,200.0
Lomonosov Moscow State University,Russian Federation,2019,199,199,53.1,53.1,77.7,59.8,16.2,89.1,63.7,29063,7.2,0.25,0.5,53.115,199.0
University of Antwerp,Belgium,2019,201,250,53.0,49.5,35.1,38.0,75.2,74.5,67.9,15096,29.6,0.16,0.54,51.44499999999999,225.0
University of Auckland,New Zealand,2019,201,250,53.0,49.5,30.1,40.7,76.5,61.6,91.7,30041,18.4,0.3,0.54,52.607499999999995,208.0
University of Barcelona,Spain,2019,201,250,53.0,49.5,37.7,32.3,85.1,40.1,52.6,46002,11.9,0.1,0.62,51.4775,223.0
University of Bath,United Kingdom,2019,201,250,53.0,49.5,32.0,31.7,77.8,38.2,89.8,13199,16.6,0.33,0.46,50.14,240.0
Bielefeld University,Germany,2019,201,250,53.0,49.5,35.4,40.0,79.3,53.4,46.4,24255,64.3,0.08,0.57,51.224999999999994,228.0
Brandeis University,United States,2019,201,250,53.0,49.5,28.5,23.6,99.9,34.6,52.4,5385,12.5,0.26,0.55,50.394999999999996,236.0
University at Buffalo,United States,2019,201,250,53.0,49.5,40.7,34.6,73.1,43.3,63.8,25419,17.1,0.17,0.45,50.387499999999996,237.0
"University of California, Riverside",United States,2019,201,250,53.0,49.5,29.5,31.6,92.0,41.0,65.6,20864,19.6,0.14,0.52,51.87499999999999,216.0
Chalmers University of Technology,Sweden,2019,201,250,53.0,49.5,41.1,40.7,60.7,71.0,81.5,9257,12.4,0.17,0.32,50.637499999999996,231.0
