Institution,Country,Year,Best Rank,Worst Rank,Highest Score,Lowest Score,Teaching,Research,Citations,Industry Income,International Outlook,FTE Enrollment,Students per Staff,International Enrollment,Pct Women,Score,Rank
Nagoya University,Japan,2019,301,350,46.3,44.0,48.1,49.0,42.4,77.9,31.4,15630,9.2,0.1,0.29,46.15249999999999,303.0
University of Naples Federico II,Italy,2019,301,350,46.3,44.0,36.0,22.6,77.7,38.0,29.9,49789,20.5,0.01,0.56,44.0825,346.0
"National University of Ireland, Galway",Ireland,2019,301,350,46.3,44.0,27.5,30.9,71.9,44.9,80.5,13888,26.8,0.18,0.57,46.25000000000001,301.0
University of Newcastle,Australia,2019,301,350,46.3,44.0,23.8,26.9,74.1,57.0,82.3,22220,20.9,0.17,0.55,45.037499999999994,323.0
University of New Mexico,United States,2019,301,350,46.3,44.0,27.8,32.0,78.7,37.3,32.0,21506,18.8,0.05,0.55,44.88249999999999,327.0
Oregon State University,United States,2019,301,350,46.3,44.0,31.3,30.4,71.2,38.1,51.1,24280,16.2,0.11,0.46,44.655,333.0
University of Pisa,Italy,2019,301,350,46.3,44.0,32.2,25.2,79.5,40.8,39.9,32751,22.1,0.05,0.52,45.082499999999996,321.0
Polytechnic University of Milan,Italy,2019,301,350,46.3,44.0,33.2,34.7,63.3,68.9,57.4,33663,24.2,0.15,0.34,45.3875,315.0
Reykjavík University,Iceland,2019,301,350,46.3,44.0,13.6,17.6,99.9,36.2,62.7,3110,27.2,0.07,0.42,44.9375,326.0
Southern University of Science and Technology (SUSTech),China,2019,301,350,46.3,44.0,22.1,17.8,89.0,37.5,61.9,2115,6.3,,0.33,44.25,344.0
Stellenbosch University,South Africa,2019,301,350,46.3,44.0,28.5,34.1,65.8,60.4,54.0,23750,26.0,0.08,0.55,44.07999999999999,347.0
Sun Yat-sen University,China,2019,301,350,46.3,44.0,42.6,33.6,60.8,55.8,34.3,51061,16.2,0.09,0.51,45.067499999999995,322.0
University of Tartu,Estonia,2019,301,350,46.3,44.0,25.1,26.4,81.1,36.8,51.9,8518,11.3,0.06,0.68,44.5925,335.0
Technion Israel Institute of Technology,Israel,2019,301,350,46.3,44.0,35.7,33.1,59.3,42.6,64.1,14703,21.8,0.05,0.36,44.302499999999995,343.0
"University of Tennessee, Knoxville",United States,2019,301,350,46.3,44.0,33.7,23.2,82.2,41.3,44.7,25720,16.7,0.05,,46.115,304.0
Technical University of Dortmund,Germany,2019,301,350,46.3,44.0,36.0,40.2,59.6,44.9,43.7,33665,102.0,0.1,0.45,45.14,319.0
Tulane University,United States,2019,301,350,46.3,44.0,43.2,23.4,73.1,37.0,41.1,11120,10.5,0.11,0.57,45.9175,307.0
Umeå University,Sweden,2019,301,350,46.3,44.0,24.0,29.4,80.9,36.9,62.5,16762,11.9,0.11,0.6,45.89999999999999,310.0
University College Cork,Ireland,2019,301,350,46.3,44.0,25.8,28.4,68.9,49.9,80.1,16578,22.2,0.18,0.57,44.185,345.0
Université de Versailles Saint-Quentin-en-Yvelines,France,2019,301,350,46.3,44.0,18.3,22.9,94.2,35.7,62.2,16817,24.1,0.14,0.59,46.1775,302.0
University of Victoria,Canada,2019,301,350,46.3,44.0,21.9,28.0,71.6,43.0,86.5,19286,23.4,0.21,0.56,44.012499999999996,351.0
Victoria University,Australia,2019,301,350,46.3,44.0,23.4,25.0,78.0,41.8,74.8,15153,31.1,0.19,0.53,44.575,336.0
Washington State University,United States,2019,301,350,46.3,44.0,31.3,28.4,75.2,51.5,48.3,27689,19.3,0.08,0.52,45.38,316.0
Wayne State University,United States,2019,301,350,46.3,44.0,33.7,17.7,82.2,43.9,38.1,22123,11.0,0.09,0.55,44.035,350.0
Wuhan University,China,2019,301,350,46.3,44.0,48.0,34.1,47.1,87.3,40.4,50015,14.2,0.08,,43.9725,352.0
Aberystwyth University,United Kingdom,2019,351,400,43.9,41.7,26.2,24.0,67.8,37.9,75.0,7163,15.7,0.18,0.47,41.9725,392.0
Aston University,United Kingdom,2019,351,400,43.9,41.7,23.0,24.3,65.2,36.0,93.2,9926,21.6,0.29,0.49,41.64,400.0
Autonomous University of Madrid,Spain,2019,351,400,43.9,41.7,33.9,28.4,64.8,37.8,51.1,29532,13.4,0.14,0.59,42.9075,373.0
Babol Noshirvani University of Technology,Iran,2019,351,400,43.9,41.7,13.6,21.3,100.0,47.8,16.0,5353,30.9,,0.33,42.865,374.0
"University of California, Merced",United States,2019,351,400,43.9,41.7,16.2,20.5,96.4,37.8,40.1,6680,19.3,0.08,0.51,43.8825,354.0
"City, University of London",United Kingdom,2019,351,400,43.9,41.7,23.4,26.1,67.5,35.4,94.5,14067,18.7,0.53,0.56,43.0725,369.0
University of Côte d’Azur,France,2019,351,400,43.9,41.7,27.1,16.5,74.5,38.8,82.4,35112,21.8,0.23,0.55,42.58,380.0
University of Crete,Greece,2019,351,400,43.9,41.7,18.0,19.1,87.9,39.8,47.6,14890,27.8,0.04,0.61,42.065,391.0
University of Cyprus,Cyprus,2019,351,400,43.9,41.7,20.7,26.4,68.0,49.0,79.8,6861,22.7,0.1,0.67,41.74,398.0
Deakin University,Australia,2019,351,400,43.9,41.7,23.3,28.8,67.9,38.3,81.3,37330,30.3,0.19,0.58,43.055,370.0
Drexel University,United States,2019,351,400,43.9,41.7,36.2,19.3,67.9,40.6,50.7,19650,10.5,0.18,0.49,41.837500000000006,394.0
University of Eastern Finland,Finland,2019,351,400,43.9,41.7,25.8,28.0,75.4,38.2,50.8,11572,18.7,0.07,0.63,43.525000000000006,361.0
Free University of Bozen-Bolzano,Italy,2019,351,400,43.9,41.7,19.3,12.6,87.2,34.5,74.5,3445,11.4,0.11,0.67,42.18,383.0
Hanyang University,South Korea,2019,351,400,43.9,41.7,39.1,40.0,44.1,86.1,59.8,20010,14.8,0.19,,43.5975,360.0
Hofstra University,United States,2019,351,400,43.9,41.7,37.9,12.7,84.7,34.0,29.4,9813,13.6,0.1,0.57,43.645,359.0
Huazhong University of Science and Technology,China,2019,351,400,43.9,41.7,37.9,32.9,57.1,75.2,24.6,56282,16.6,0.05,0.35,42.095,387.0
IMT Atlantique,France,2019,351,400,43.9,41.7,31.9,22.2,59.8,90.4,75.6,1664,8.0,0.45,,42.099999999999994,386.0
Indian Institute of Technology Indore,India,2019,351,400,43.9,41.7,25.1,20.2,86.5,34.0,18.2,1118,8.6,,0.15,41.755,397.0
University of Innsbruck,Austria,2019,351,400,43.9,41.7,26.7,19.9,71.1,43.7,97.4,14524,13.0,0.39,0.54,43.7075,358.0
Iowa State University,United States,2019,351,400,43.9,41.7,28.8,32.2,63.7,49.5,55.5,31931,18.3,0.12,0.44,42.809999999999995,375.0
Jordan University of Science and Technology,Jordan,2019,351,400,43.9,41.7,15.2,7.8,98.3,36.9,63.6,22318,12.1,0.19,0.57,42.082499999999996,389.0
Justus Liebig University Giessen,Germany,2019,351,400,43.9,41.7,34.9,33.0,59.3,40.7,53.3,28389,47.0,0.09,0.61,43.175,367.0
University of Kansas,United States,2019,351,400,43.9,41.7,37.2,24.5,65.6,41.9,33.6,24450,9.9,0.09,0.51,41.7575,396.0
University of Kent,United Kingdom,2019,351,400,43.9,41.7,23.7,23.4,69.8,34.4,90.8,17369,13.1,0.3,0.53,42.739999999999995,377.0
Kyung Hee University,South Korea,2019,351,400,43.9,41.7,33.9,38.3,50.3,86.9,64.7,22013,16.9,0.23,0.45,43.77499999999999,356.0
Linköping University,Sweden,2019,351,400,43.9,41.7,24.1,19.2,79.1,43.8,64.0,18221,8.2,0.11,0.55,42.614999999999995,379.0
University of Macau,Macao,2019,351,400,43.9,41.7,26.2,29.8,60.3,45.4,99.3,9893,15.2,0.36,0.58,43.4725,363.0
Maynooth University,Ireland,2019,351,400,43.9,41.7,20.8,27.7,73.1,37.1,78.9,8768,27.6,0.12,0.56,43.324999999999996,365.0
University of Modena and Reggio Emilia,Italy,2019,351,400,43.9,41.7,31.3,19.3,78.4,41.3,39.2,16137,22.2,0.06,0.53,42.6725,378.0
Nankai University,China,2019,351,400,43.9,41.7,38.2,20.8,75.1,43.1,32.3,28336,13.7,0.06,,43.730000000000004,357.0
National Research Nuclear University MEPhI,Russian Federation,2019,351,400,43.9,41.7,39.7,33.9,43.3,100.0,60.6,6804,9.7,0.21,0.3,42.114999999999995,385.0
University of Nebraska-Lincoln,United States,2019,351,400,43.9,41.7,32.2,26.2,66.5,39.5,54.7,22728,16.6,0.12,0.48,42.559999999999995,382.0
Norwegian University of Science and Technology,Norway,2019,351,400,43.9,41.7,25.2,28.5,67.8,37.9,60.8,34803,16.2,0.09,0.49,41.9575,393.0
University of Perugia,Italy,2019,351,400,43.9,41.7,17.0,20.6,90.8,45.4,44.3,23401,34.4,0.05,0.56,42.97749999999999,372.0
Rensselaer Polytechnic Institute,United States,2019,351,400,43.9,41.7,27.9,30.1,67.1,68.3,49.9,7459,15.4,0.19,0.32,42.980000000000004,371.0
Rush University,United States,2019,351,400,43.9,41.7,34.6,10.6,90.4,39.5,20.0,2426,1.4,0.01,0.74,43.1675,368.0
Sabancı University,Turkey,2019,351,400,43.9,41.7,27.3,35.6,56.3,95.5,48.4,3632,22.0,0.1,0.38,41.777499999999996,395.0
University of Salerno,Italy,2019,351,400,43.9,41.7,17.5,17.4,93.9,37.7,33.1,23171,24.3,0.02,0.58,42.065000000000005,390.0
University of Siena,Italy,2019,351,400,43.9,41.7,36.9,20.3,69.7,36.6,42.5,12143,13.8,0.07,0.59,42.17249999999999,384.0
University of Stirling,United Kingdom,2019,351,400,43.9,41.7,21.4,25.0,75.9,35.6,78.7,9183,16.0,0.22,0.62,43.4825,362.0
University of Tasmania,Australia,2019,351,400,43.9,41.7,24.6,31.3,60.2,50.6,86.2,11920,15.0,0.26,0.57,42.56,381.0
Temple University,United States,2019,351,400,43.9,41.7,34.0,16.3,83.2,37.1,37.5,34450,9.1,0.09,0.52,43.79,355.0
University of Turku,Finland,2019,351,400,43.9,41.7,25.3,29.3,73.8,36.5,52.0,12604,16.3,0.06,0.62,43.332499999999996,364.0
United Arab Emirates University,United Arab Emirates,2019,351,400,43.9,41.7,23.2,18.9,69.5,47.4,94.3,7494,9.2,0.24,0.81,41.7375,399.0
University of Vermont,United States,2019,351,400,43.9,41.7,27.9,19.9,81.4,47.1,28.7,11126,8.7,0.05,0.56,42.09000000000001,388.0
Western Sydney University,Australia,2019,351,400,43.9,41.7,17.6,27.0,76.4,39.7,79.8,32461,33.2,0.14,0.55,43.277499999999996,366.0
York University,Canada,2019,351,400,43.9,41.7,31.0,41.3,47.9,42.5,75.3,46220,41.5,0.24,0.57,42.769999999999996,376.0
University of Alabama,United States,2019,401,500,41.6,37.1,26.1,21.1,79.2,34.8,29.0,34539,22.3,0.05,0.55,40.964999999999996,415.0
University of Alabama in Huntsville,United States,2019,401,500,41.6,37.1,20.7,21.3,67.1,68.2,44.8,5969,14.1,0.09,0.44,37.794999999999995,486.0
American University of Beirut,Lebanon,2019,401,500,41.6,37.1,27.9,14.6,66.2,39.3,88.3,8214,8.6,0.21,0.51,40.215,433.0
Australian Catholic University,Australia,2019,401,500,41.6,37.1,18.3,26.9,62.0,39.4,71.7,23078,42.4,0.11,0.73,38.522499999999994,469.0
Bangor University,United Kingdom,2019,401,500,41.6,37.1,24.9,21.6,67.7,35.6,81.6,9277,18.9,0.24,0.56,41.269999999999996,409.0
University of Bari Aldo Moro,Italy,2019,401,500,41.6,37.1,17.3,17.0,82.1,37.4,32.0,30273,20.6,0.01,0.61,38.255,478.0
Bar-Ilan University,Israel,2019,401,500,41.6,37.1,28.1,34.3,52.3,52.9,53.3,16637,17.7,0.05,0.59,39.73,443.0
University of Bordeaux,France,2019,401,500,41.6,37.1,31.1,21.6,66.8,36.5,56.9,54484,21.3,0.13,0.58,41.03,413.0
Brunel University London,United Kingdom,2019,401,500,41.6,37.1,26.2,26.6,57.3,38.2,94.8,10979,16.0,0.38,0.47,41.095,412.0
University of Calabria,Italy,2019,401,500,41.6,37.1,16.4,22.0,72.9,89.3,37.7,29008,33.3,0.02,0.6,38.45,471.0
University of Campinas,Brazil,2019,401,500,41.6,37.1,46.8,37.5,33.4,44.6,28.6,27936,14.5,0.04,0.47,38.57000000000001,468.0
Catholic University of the Sacred Heart,Italy,2019,401,500,41.6,37.1,19.1,20.4,69.3,43.6,44.8,30690,22.2,0.09,0.66,37.09,502.0
Centrale Nantes,France,2019,401,500,41.6,37.1,32.3,28.5,44.3,80.6,82.8,1656,16.0,0.43,0.25,39.754999999999995,442.0
CentraleSupélec,France,2019,401,500,41.6,37.1,30.8,18.7,53.9,65.6,83.8,4339,12.1,0.32,0.22,38.94499999999999,459.0
Charles University in Prague,Czech Republic,2019,401,500,41.6,37.1,31.6,24.8,55.9,34.4,57.4,49236,12.9,0.17,0.62,38.855,460.0
Claude Bernard University Lyon 1,France,2019,401,500,41.6,37.1,23.5,21.9,63.5,38.6,55.7,26034,12.3,0.13,0.52,37.81250000000001,485.0
Colorado State University,United States,2019,401,500,41.6,37.1,29.0,25.7,68.1,39.1,38.4,25374,16.5,0.06,0.53,40.69749999999999,423.0
Complutense University of Madrid,Spain,2019,401,500,41.6,37.1,42.4,28.4,42.7,35.6,44.3,64466,20.1,0.14,0.61,38.262499999999996,477.0
University of Desarrollo,Chile,2019,401,500,41.6,37.1,12.5,8.2,94.3,35.5,45.6,15925,18.0,0.02,0.55,38.807500000000005,462.0
Diego Portales University,Chile,2019,401,500,41.6,37.1,13.2,10.3,90.1,34.0,51.2,16802,14.6,0.02,0.49,38.77,465.0
Dublin City University,Ireland,2019,401,500,41.6,37.1,23.5,28.5,52.0,48.8,78.7,9748,27.3,0.14,0.5,38.32249999999999,475.0
University of Ferrara,Italy,2019,401,500,41.6,37.1,18.7,20.0,74.8,38.4,43.7,14464,24.4,0.07,0.56,38.2875,476.0
University of Florence,Italy,2019,401,500,41.6,37.1,36.3,13.4,68.2,39.9,41.4,35055,20.5,0.07,0.55,39.4725,450.0
Florida International University,United States,2019,401,500,41.6,37.1,28.9,21.8,61.8,37.0,38.3,33394,23.9,0.08,0.56,37.5475,490.0
Fujita Health University,Japan,2019,401,500,41.6,37.1,23.0,8.7,88.1,37.3,18.3,2810,3.1,,0.55,38.245,479.0
University of Genoa,Italy,2019,401,500,41.6,37.1,30.4,20.5,66.0,42.1,43.2,23547,18.9,0.09,0.55,39.362500000000004,453.0
University of Georgia,United States,2019,401,500,41.6,37.1,33.6,32.1,59.0,36.6,43.9,34707,16.6,0.08,0.57,41.61749999999999,401.0
Georgia State University,United States,2019,401,500,41.6,37.1,32.0,25.0,62.3,34.4,38.1,33233,16.1,0.05,0.59,39.5075,448.0
Graz University of Technology,Austria,2019,401,500,41.6,37.1,30.4,17.3,57.3,70.8,77.3,6403,10.2,0.19,0.23,39.0675,456.0
University of Greifswald,Germany,2019,401,500,41.6,37.1,31.4,20.9,61.1,37.6,47.0,10414,19.7,0.06,0.56,38.48499999999999,470.0
Gwangju Institute of Science and Technology,South Korea,2019,401,500,41.6,37.1,41.9,39.4,38.3,69.4,34.2,1964,11.6,0.06,0.26,40.17999999999999,434.0
Hamburg University of Technology,Germany,2019,401,500,41.6,37.1,35.7,24.1,47.8,78.2,50.8,7452,50.7,0.18,0.26,38.045,481.0
Harbin Institute of Technology,China,2019,401,500,41.6,37.1,41.5,34.0,39.5,98.4,35.0,30116,9.9,0.1,0.31,39.585,446.0
Hasselt University,Belgium,2019,401,500,41.6,37.1,30.4,28.6,55.3,54.1,67.6,5256,32.4,0.12,0.47,40.7125,421.0
Hokkaido University,Japan,2019,401,500,41.6,37.1,45.0,39.7,34.9,59.0,35.3,18114,7.9,0.1,0.3,40.0025,438.0
Hong Kong Baptist University,Hong Kong,2019,401,500,41.6,37.1,23.3,14.3,64.2,36.6,98.0,10872,10.5,0.31,0.62,38.805,463.0
Indian Institute of Technology Bombay,India,2019,401,500,41.6,37.1,44.3,33.0,47.0,71.9,19.6,10001,17.1,0.01,0.18,40.5575,425.0
Indian Institute of Technology Roorkee,India,2019,401,500,41.6,37.1,34.9,29.6,53.4,82.9,16.2,7925,17.4,0.02,0.1,38.657500000000006,467.0
JSS Academy of Higher Education and Research,India,2019,401,500,41.6,37.1,37.1,7.7,80.8,35.1,25.7,5421,8.6,0.08,0.55,40.485,427.0
University of Jyväskylä,Finland,2019,401,500,41.6,37.1,27.7,29.3,59.7,36.0,51.5,10338,15.9,0.05,0.6,39.772499999999994,440.0
University of Kaiserslautern,Germany,2019,401,500,41.6,37.1,35.8,23.6,49.2,69.6,49.9,14648,53.9,0.16,0.38,38.0625,480.0
University of Kentucky,United States,2019,401,500,41.6,37.1,27.4,28.9,55.2,39.1,36.6,27299,14.5,0.05,0.55,37.1725,497.0
Koç University,Turkey,2019,401,500,41.6,37.1,25.6,32.8,55.1,79.4,53.8,5378,15.7,0.08,0.52,40.06999999999999,436.0
University of KwaZulu-Natal,South Africa,2019,401,500,41.6,37.1,24.6,28.7,60.9,38.3,55.9,35451,28.4,0.05,0.58,39.410000000000004,451.0
Kyushu University,Japan,2019,401,500,41.6,37.1,46.2,39.8,34.0,77.3,37.0,18647,8.3,0.12,0.28,40.707499999999996,422.0
Leibniz University of Hanover,Germany,2019,401,500,41.6,37.1,36.4,27.0,46.5,48.0,45.7,26318,44.4,0.12,0.4,37.597500000000004,489.0
University of Lille,France,2019,401,500,41.6,37.1,19.8,22.8,64.1,38.6,58.5,66710,28.2,0.12,0.56,37.362500000000004,495.0
Loughborough University,United Kingdom,2019,401,500,41.6,37.1,31.6,31.3,51.4,38.5,79.6,14225,14.7,0.24,0.39,41.2225,410.0
University of Manitoba,Canada,2019,401,500,41.6,37.1,26.6,31.0,63.8,41.6,53.0,29260,28.4,0.16,0.54,41.435,406.0
Marche Polytechnic University,Italy,2019,401,500,41.6,37.1,21.2,18.8,73.6,40.5,30.5,10850,20.9,0.04,0.48,37.38,494.0
Middlesex University,United Kingdom,2019,401,500,41.6,37.1,19.2,16.9,77.3,34.2,88.7,15135,18.0,0.46,0.6,41.527499999999996,403.0
University of Milan-Bicocca,Italy,2019,401,500,41.6,37.1,23.3,19.8,79.0,38.1,43.5,26508,30.4,0.06,0.62,40.845,416.0
University of Montana,United States,2019,401,500,41.6,37.1,37.9,20.4,68.0,34.6,26.6,8957,16.1,0.03,0.56,40.75,419.0
Murdoch University,Australia,2019,401,500,41.6,37.1,19.3,24.8,62.0,42.1,90.8,15723,30.9,0.43,0.59,39.6925,444.0
National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,2019,401,500,41.6,37.1,30.5,42.7,37.6,66.2,39.3,8087,18.9,0.13,0.3,37.8425,484.0
National Tsing Hua University,Taiwan,2019,401,500,41.6,37.1,31.2,35.6,55.8,50.6,33.2,16037,15.6,0.08,0.41,40.535000000000004,426.0
University of Nebraska Medical Center,United States,2019,401,500,41.6,37.1,37.5,11.6,60.6,37.8,43.8,2806,2.3,0.08,0.67,37.13999999999999,499.0
New Mexico Institute of Mining and Technology,United States,2019,401,500,41.6,37.1,23.6,10.0,85.1,57.7,60.6,1791,6.3,0.09,0.28,41.597500000000004,402.0
Northern Arizona University,United States,2019,401,500,41.6,37.1,18.6,13.3,87.0,34.2,30.0,27449,26.6,0.05,0.59,38.775,464.0
Northumbria University,United Kingdom,2019,401,500,41.6,37.1,17.2,17.1,78.7,34.6,70.5,22084,17.9,0.16,0.54,40.0525,437.0
University of Oklahoma,United States,2019,401,500,41.6,37.1,34.8,18.4,68.5,38.8,38.7,27352,10.3,0.07,0.52,40.3825,428.0
Örebro University,Sweden,2019,401,500,41.6,37.1,18.5,21.0,86.3,35.3,38.3,9437,19.4,0.02,0.61,41.495,405.0
University of Pavia,Italy,2019,401,500,41.6,37.1,21.9,23.6,73.0,53.8,46.1,24032,39.2,0.07,0.56,40.3525,430.0
Plymouth University,United Kingdom,2019,401,500,41.6,37.1,18.7,19.5,69.7,34.5,69.4,17901,17.5,0.15,0.54,38.43749999999999,473.0
Polytechnic University of Bari,Italy,2019,401,500,41.6,37.1,15.7,17.9,91.8,36.5,29.4,6107,23.6,0.01,0.32,40.7375,420.0
Polytechnic University of Turin,Italy,2019,401,500,41.6,37.1,23.7,21.2,66.9,50.5,47.3,31008,30.4,0.14,0.29,38.35,474.0
University of Porto,Portugal,2019,401,500,41.6,37.1,27.5,27.2,55.7,38.8,50.5,31855,18.9,0.12,0.55,37.877500000000005,483.0
University of Portsmouth,United Kingdom,2019,401,500,41.6,37.1,16.7,15.3,69.3,34.3,86.1,19305,15.5,0.26,0.45,37.705,487.0
Qatar University,Qatar,2019,401,500,41.6,37.1,18.4,24.1,62.5,53.1,99.8,14395,17.5,0.43,0.75,40.3125,431.0
RMIT University,Australia,2019,401,500,41.6,37.1,23.5,23.5,58.5,40.9,89.6,32151,20.2,0.27,0.47,39.3925,452.0
University of Rome II – Tor Vergata,Italy,2019,401,500,41.6,37.1,22.6,16.6,74.6,36.3,45.3,34899,19.2,0.07,0.52,38.445,472.0
University of Rome III,Italy,2019,401,500,41.6,37.1,27.7,23.5,70.3,37.6,39.9,32615,52.7,0.04,0.58,40.3825,428.0
University of Rovira i Virgili,Spain,2019,401,500,41.6,37.1,24.2,20.2,76.2,36.0,49.1,12709,12.7,0.1,0.59,40.762499999999996,418.0
Royal Veterinary College,United Kingdom,2019,401,500,41.6,37.1,24.5,17.3,69.0,40.1,84.7,1966,10.3,0.17,0.77,40.59499999999999,424.0
University of St Gallen,Switzerland,2019,401,500,41.6,37.1,32.0,19.5,57.6,43.0,96.3,7495,11.7,0.35,0.35,41.0275,414.0
University of Saskatchewan,Canada,2019,401,500,41.6,37.1,35.7,26.0,43.6,75.0,70.7,16884,16.7,0.19,0.56,38.767500000000005,466.0
Sciences Po,France,2019,401,500,41.6,37.1,34.4,25.3,57.1,36.7,72.7,11584,44.0,0.34,0.59,41.40999999999999,407.0
Semmelweis University,Hungary,2019,401,500,41.6,37.1,24.2,12.0,66.4,36.0,77.9,10809,9.6,0.32,0.67,37.5225,491.0
University of Siegen,Germany,2019,401,500,41.6,37.1,21.1,24.5,63.9,40.3,53.8,19586,43.3,0.11,0.49,37.89249999999999,482.0
"Soas, University of London",United Kingdom,2019,401,500,41.6,37.1,44.4,36.9,27.8,34.1,78.9,4965,11.7,0.54,0.65,39.49999999999999,449.0
University of South Carolina,United States,2019,401,500,41.6,37.1,32.9,26.5,65.4,35.1,42.8,31547,16.2,0.06,0.55,41.527499999999996,403.0
State University of New York Albany,United States,2019,401,500,41.6,37.1,21.7,35.2,65.5,37.5,48.6,15954,16.2,0.1,0.52,41.3025,408.0
University of Strasbourg,France,2019,401,500,41.6,37.1,28.1,21.2,64.1,37.8,70.6,45482,18.5,0.2,0.58,40.26,432.0
University of Strathclyde,United Kingdom,2019,401,500,41.6,37.1,25.1,30.3,49.7,45.2,85.2,17727,19.4,0.27,0.5,39.050000000000004,457.0
Swinburne University of Technology,Australia,2019,401,500,41.6,37.1,24.0,26.7,59.3,38.7,77.2,12862,25.3,0.26,0.38,39.7575,441.0
Tampere University of Technology,Finland,2019,401,500,41.6,37.1,25.9,21.0,58.2,71.2,55.5,5439,21.4,0.1,0.23,37.472500000000004,493.0
Teikyo University,Japan,2019,401,500,41.6,37.1,13.7,10.2,93.1,35.9,18.2,23711,18.1,0.02,0.34,37.3625,496.0
Tokyo Medical and Dental University (TMDU),Japan,2019,401,500,41.6,37.1,41.2,21.1,55.5,61.7,26.0,2986,3.2,0.08,0.5,38.8325,461.0
Tokyo Metropolitan University,Japan,2019,401,500,41.6,37.1,21.7,16.3,76.3,37.3,25.3,9185,13.4,0.04,0.36,37.11999999999999,501.0
Tongji University,China,2019,401,500,41.6,37.1,37.5,41.7,31.0,98.4,50.5,36511,13.5,0.1,0.4,39.3075,454.0
University of Trieste,Italy,2019,401,500,41.6,37.1,29.6,20.1,71.3,36.1,48.5,16084,22.9,0.09,0.56,40.84,417.0
University of Tsukuba,Japan,2019,401,500,41.6,37.1,42.8,34.5,34.0,45.3,42.4,16717,13.3,0.2,0.39,37.7025,488.0
University of Tulsa,United States,2019,401,500,41.6,37.1,33.4,14.8,60.1,51.3,44.8,4563,11.9,0.23,0.43,37.1325,500.0
University of Turin,Italy,2019,401,500,41.6,37.1,19.9,24.3,73.4,44.7,43.6,52495,27.9,0.08,0.61,39.667500000000004,445.0
UiT The Arctic University of Norway,Norway,2019,401,500,41.6,37.1,20.1,15.4,78.5,37.9,62.9,16266,13.4,0.1,0.58,39.865,439.0
University of Urbino Carlo Bo,Italy,2019,401,500,41.6,37.1,16.1,12.7,88.0,36.3,48.3,14386,40.3,0.06,0.61,39.57,447.0
University of Valencia,Spain,2019,401,500,41.6,37.1,28.0,19.6,68.0,36.3,44.9,50927,16.7,0.11,0.62,38.955,458.0
Verona University,Italy,2019,401,500,41.6,37.1,32.0,18.9,72.3,41.6,41.3,19030,26.1,0.05,0.65,41.09749999999999,411.0
University of Waikato,New Zealand,2019,401,500,41.6,37.1,19.8,23.8,65.5,42.2,84.4,9805,17.1,0.18,0.58,40.114999999999995,435.0
Victoria University of Wellington,New Zealand,2019,401,500,41.6,37.1,23.1,30.7,50.1,55.1,88.6,17391,19.1,0.21,0.56,39.192499999999995,455.0
University of the West of Scotland,United Kingdom,2019,401,500,41.6,37.1,13.2,12.2,79.1,37.0,69.9,11161,20.7,0.18,0.58,37.51749999999999,492.0
University of Wisconsin-Milwaukee,United States,2019,401,500,41.6,37.1,19.6,20.9,72.5,35.3,31.8,21251,19.1,0.06,0.53,37.1675,498.0
Amirkabir University of Technology,Iran,2019,501,600,37.0,33.5,34.5,28.9,39.6,75.1,18.8,11918,21.7,0.02,0.35,34.18749999999999,579.0
University of Aveiro,Portugal,2019,501,600,37.0,33.5,29.2,25.8,43.4,40.3,51.0,9842,16.5,0.11,0.51,34.3525,575.0
University of the Balearic Islands,Spain,2019,501,600,37.0,33.5,19.7,12.9,71.6,34.7,45.5,11507,12.7,0.06,0.59,35.54,543.0
Beihang University,China,2019,501,600,37.0,33.5,33.2,33.8,30.7,99.2,26.6,29520,14.4,0.06,,33.785000000000004,591.0
University of Bergamo,Italy,2019,501,600,37.0,33.5,20.6,20.0,61.6,43.6,34.8,17349,56.7,0.06,0.62,34.36000000000001,574.0
Bilkent University,Turkey,2019,501,600,37.0,33.5,22.2,21.7,59.4,39.5,61.0,10659,15.0,0.07,0.46,36.552499999999995,514.0
"Binghamton University, State University of New York",United States,2019,501,600,37.0,33.5,23.0,19.9,65.0,36.8,43.4,17582,23.0,0.15,0.48,36.545,515.0
Boğaziçi University,Turkey,2019,501,600,37.0,33.5,21.8,22.5,56.1,60.3,46.0,12374,25.4,0.07,0.49,35.0775,557.0
Bond University,Australia,2019,501,600,37.0,33.5,19.4,20.0,57.1,34.6,88.2,3273,10.7,0.41,0.53,36.43,519.0
Université Bourgogne Franche-Comté (UBFC),France,2019,501,600,37.0,33.5,22.3,14.1,61.5,38.9,50.4,58837,33.6,0.11,0.54,34.122499999999995,581.0
Bournemouth University,United Kingdom,2019,501,600,37.0,33.5,28.9,17.6,51.8,35.0,79.5,12777,16.5,0.19,0.57,36.3275,523.0
University of Brescia,Italy,2019,501,600,37.0,33.5,14.6,15.8,74.0,38.4,41.8,14296,26.2,0.07,0.46,35.415,548.0
Carleton University,Canada,2019,501,600,37.0,33.5,20.1,28.9,49.6,36.8,68.1,26856,30.3,0.2,0.48,35.6075,541.0
University of Catania,Italy,2019,501,600,37.0,33.5,27.3,15.8,67.8,35.4,29.1,26267,20.6,0.01,0.57,36.33749999999999,521.0
Central Queensland University,Australia,2019,501,600,37.0,33.5,20.1,11.6,63.7,36.7,60.6,13770,26.4,0.28,0.56,34.082499999999996,582.0
