inst_id,date_key,ncses_inst_id,unitid,federal_government,state_and_local_government,business,nonprofit_organizations,institutional_funds,other_sources,total_rd_expenses,medical_school_expenses,non_medical_rd
1320,20170630,U3266020,110705,117457000,5521000,23153000,21779000,47019000,23317000,238246000,0,238246000
1321,20170630,U3266021,110714,66563000,3745000,4831000,10947000,29561000,8697000,124344000,0,124344000
1323,20170630,U3266014,445188,14923000,872000,655000,2296000,14742000,1605000,35093000,0,35093000
1325,20170630,U3410001,122612,405000,93000,0,134000,1970000,0,2602000,0,2602000
1326,20170630,U2754001,122931,1468000,62000,122000,492000,0,1000,2145000,0,2145000
1328,20170630,U3422001,123961,450204000,14871000,56863000,45652000,134407000,62325000,764322000,414407000,349915000
1329,20170630,U3478001,120883,1474000,318000,45000,278000,0,40000,2155000,0,2155000
1347,20170630,U0773001,126678,745000,160000,0,446000,864000,0,2215000,0,2215000
1348,20170630,U0776001,126775,37505000,2618000,12504000,1103000,3505000,2242000,59477000,0,59477000
1349,20170630,U3377001,127741,2349000,68000,60000,55000,2006000,0,4538000,0,4538000
1350,20170630,U0777004,126818,239165000,17058000,8710000,17203000,49317000,6951000,338404000,0,338404000
1369,20170630,U3219001,128328,40062000,23000,526000,280000,6030000,1366000,48287000,0,48287000
1370,20170630,U3276001,126614,374209000,3906000,9908000,73229000,35865000,2272000,499389000,0,499389000
1371,20170630,U3285001,127060,11648000,204000,1831000,2424000,5990000,192000,22289000,0,22289000
1378,20170630,U0597001,128771,231000,370000,1000,13000,380000,0,995000,0,995000
1379,20170630,U0824001,128902,777000,0,0,105000,993000,0,1875000,0,1875000
1385,20170630,U1064001,129242,1101000,32000,0,338000,7278000,0,8749000,0,8749000
1397,20170630,U3363001,129941,548000,268000,0,4189000,0,0,5005000,0,5005000
1402,20170630,U2594001,130226,513000,53000,44000,134000,274000,18000,1036000,880000,156000
1406,20170630,U2924001,130493,1274000,75000,0,171000,973000,0,2493000,0,2493000
1414,20170630,U3181002,130590,2084000,0,0,333000,439000,0,2856000,0,2856000
1416,20170630,U3265001,128744,23000,8000,23000,53000,619000,0,726000,0,726000
1422,20170630,U3295001,129525,1178000,11000,11000,65000,536000,0,1801000,0,1801000
1424,20170630,U3588001,130697,3902000,488000,3000,865000,3631000,56000,8945000,0,8945000
1426,20170630,U3715001,130794,541608000,1477000,70263000,78668000,253060000,6008000,951084000,747959000,203125000
1428,20170630,U0914001,130934,14693000,470000,25000,0,5605000,0,20793000,0,20793000
1431,20170630,U3284001,130943,117813000,13103000,5071000,4357000,39884000,3200000,183428000,0,183428000
1434,20170630,U0219001,131159,8800000,111000,651000,7056000,38278000,1138000,56034000,0,56034000
1437,20170630,U0562001,131283,19857000,111000,371000,578000,3365000,0,24282000,0,24282000
1443,20170630,U1170001,131450,2380000,0,49000,283000,2280000,2611000,7603000,0,7603000
1444,20170630,U1194001,131469,148369000,1532000,2708000,25492000,63919000,3499000,245519000,57893000,187626000
1445,20170630,U1197001,131496,94435000,2867000,11331000,27676000,61276000,14734000,212319000,137764000,74555000
1448,20170630,U1382001,131520,34762000,1155000,2052000,859000,6940000,0,45768000,18387000,27381000
1469,20170630,U1107001,133881,8465000,1782000,1081000,471000,6230000,151000,18180000,0,18180000
1479,20170630,U1023001,133553,10525000,130000,1460000,25000,1195000,0,13335000,0,13335000
1480,20170630,U1099001,133650,30383000,1267000,724000,247000,4957000,0,37578000,0,37578000
1481,20170630,U1102001,133669,17172000,2661000,1088000,3734000,19127000,2243000,46025000,7393000,38632000
1489,20170630,U1113001,134097,134278000,5221000,2849000,13174000,123269000,4110000,282901000,18485000,264416000
1507,20170630,U2217001,262129,167000,0,352000,1000,470000,8000,998000,0,998000
1509,20170630,U2362001,136215,7979000,1708000,4097000,374000,7355000,995000,22508000,10839000,11669000
1535,20170630,U3290001,134130,327288000,142480000,36208000,42265000,221522000,31655000,801418000,324055000,477363000
1536,20170630,U3344001,135726,194385000,10276000,32830000,33732000,96232000,422000,367877000,271419000,96458000
1544,20170630,U0066001,138716,1026000,79000,288000,0,0,0,1393000,0,1393000
1559,20170630,U0699001,138947,5811000,0,14000,142000,2040000,0,8007000,0,8007000
1564,20170630,U1030001,139658,382177000,354000,37391000,56932000,186516000,1518000,664888000,382944000,281944000
1566,20170630,U1128001,139719,5068000,0,0,0,306000,0,5374000,0,5374000
1572,20170630,U1203001,139931,2978000,327000,6338000,218000,6220000,3000,16084000,0,16084000
1574,20170630,U1205001,139940,71248000,24680000,98000,10886000,92398000,861000,200171000,0,200171000
1577,20170630,U1597001,140164,2085000,112000,235000,943000,5909000,226000,9510000,0,9510000
1582,20170630,U2007001,140553,3667000,0,0,0,0,0,3667000,0,3667000
1590,20170630,U2764001,140960,1390000,0,0,17000,0,0,1407000,0,1407000
1594,20170630,U2971001,141060,1227000,0,176000,0,676000,0,2079000,0,2079000
1598,20170630,U3292001,139959,158229000,40064000,19343000,34853000,196033000,6910000,455432000,0,455432000
1610,20170630,U3299001,141574,182337000,14531000,1955000,12674000,76305000,4219000,292021000,31240000,260781000
1616,20170630,U0445001,142115,19806000,2282000,710000,471000,11507000,216000,34992000,0,34992000
1620,20170630,U1403001,142276,11184000,1037000,1089000,70000,5037000,147000,18564000,0,18564000
1626,20170630,U3306001,142285,50935000,33795000,2066000,1242000,17244000,4255000,109537000,0,109537000
1641,20170630,U0460001,143358,492000,26000,1007000,0,293000,21000,1839000,0,1839000
1657,20170630,U1921001,440253,1184000,0,16000,410000,7597000,0,9207000,5465000,3742000
1659,20170630,U2670001,145558,8828000,0,2207000,602000,5301000,68000,17006000,15628000,1378000
1671,20170630,U0904001,144740,5424000,0,43000,997000,2070000,27000,8561000,0,8561000
1674,20170630,U0977001,144892,494000,108000,90000,42000,167000,0,901000,0,901000
1691,20170630,U1406001,145725,26330000,82000,2441000,1734000,1734000,338000,32659000,0,32659000
1692,20170630,U1408001,145813,5355000,464000,73000,1540000,12626000,22000,20080000,0,20080000
1693,20170630,U2314001,147776,1403000,0,0,0,0,0,1403000,0,1403000
1710,20170630,U1736001,146719,23324000,266000,2699000,3805000,8509000,1135000,39738000,31993000,7745000
1737,20170630,U2324001,147703,7947000,385000,690000,284000,9712000,132000,19150000,0,19150000
1739,20170630,U2352001,147767,446609000,3601000,44965000,42840000,206673000,7121000,751809000,563262000,188547000
1758,20170630,U2925001,149222,13421000,837000,6684000,934000,26540000,0,48416000,18262000,30154000
1759,20170630,U2925002,149231,3805000,378000,1899000,152000,11158000,1000,17393000,0,17393000
1774,20170630,U3273001,144050,308002000,1000,35552000,44117000,45016000,640000,433328000,279835000,153493000
1775,20170630,U3310001,145637,358905000,30133000,37708000,20415000,172717000,22206000,642084000,0,642084000
1776,20170630,U3308001,145600,198049000,7200000,9700000,24693000,123091000,9886000,372619000,181909000,190710000
1780,20170630,U3615001,149772,1198000,260000,128000,0,389000,31000,2006000,0,2006000
1786,20170630,U0348001,150136,2531000,298000,427000,203000,5338000,0,8797000,0,8797000
1807,20170630,U1424001,151324,816000,61000,186000,105000,110000,6000,1284000,0,1284000
1809,20170630,U1425002,151351,245155000,3770000,25303000,49578000,216075000,540000,540421000,325004000,215417000
1813,20170630,U1427002,151111,20035000,1480000,2363000,5557000,28337000,284000,58056000,0,58056000
1816,20170630,U1425011,151342,249000,0,2000,105000,683000,0,1039000,0,1039000
1825,20170630,U2590004,243780,245110000,111590000,47177000,34188000,173477000,11272000,622814000,0,622814000
1828,20170630,U1427001,151102,812000,416000,180000,209000,2815000,822000,5254000,0,5254000
1840,20170630,U3380001,152080,91787000,369000,5752000,19902000,78449000,16564000,212823000,0,212823000
1842,20170630,U3498001,152600,1567000,114000,10000,856000,349000,187000,3083000,0,3083000
1855,20170630,U0926001,154156,878000,20000,31000,125000,362000,0,1416000,880000,536000
1860,20170630,U0949001,153269,772000,123000,80000,29000,211000,0,1215000,0,1215000
1868,20170630,U1255001,153384,652000,4000,0,322000,3787000,188000,4953000,0,4953000
1869,20170630,U1516001,153603,128221000,42363000,17794000,8145000,122758000,4303000,323584000,0,323584000
1890,20170630,U3378001,154095,2154000,251000,73000,127000,698000,0,3303000,0,3303000
1892,20170630,U3312001,153658,238842000,7165000,22885000,19940000,205447000,1000,494280000,268465000,225815000
1926,20170630,U2527001,155681,316000,706000,1074000,159000,0,0,2255000,0,2255000
1928,20170630,U1588001,155399,75468000,38062000,5388000,7365000,67770000,2425000,196478000,0,196478000
1950,20170630,U3653001,156125,21685000,8471000,38166000,286000,9904000,2000,78514000,0,78514000
1963,20170630,U0979001,156620,758000,21000,63000,80000,325000,1000,1248000,0,1248000
1968,20170630,U1600001,157058,5169000,2073000,97000,30000,31000,12000,7412000,0,7412000
1976,20170630,U2006001,157386,2162000,0,0,11000,687000,0,2860000,0,2860000
1977,20170630,U2046001,157401,1200000,57000,114000,0,1088000,0,2459000,0,2459000
1999,20170630,U3319001,157289,72119000,9299000,9640000,6664000,57307000,22559000,177588000,126016000,51572000
2002,20170630,U3619001,157951,3808000,471000,577000,353000,5605000,0,10814000,0,10814000
2004,20170630,U0933001,158802,5592000,86000,0,393000,857000,167000,7095000,0,7095000
2006,20170630,U1238001,159009,4283000,819000,0,0,809000,0,5911000,0,5911000
2008,20170630,U1727001,159647,5608000,2287000,464000,0,13426000,956000,22741000,0,22741000
2010,20170630,U1725003,159391,81644000,68151000,10954000,8878000,90691000,5859000,266177000,0,266177000
